,comment,class_label
1563,"Premet veľmi odporúčam aj tým, čo ho nemajú v povinnom bloku. Určite sa hodí v analýze a aj v numerike. Nevýhodou bolo, že učiva bolo naozaj pomerne veľa; problém bol v tom, že prednášky boli v zlých časoch, preto som absolvoval iba malú časť z nich. Odporúčam každému nechať si cez skúškové na tento predmet aspoň týždeň, ak sa chce s učivom aspoň trochu zžiť. Hodnotenie pána Činčuru bolo relatívne mierne, no nepodceňujte ho:)",1
289,Perfektny predmet. Tak ako kazde programovanie. Odporucam lebo C++ je super jazyk.,1
494,druhý projekt bol podľa mňa nevhodne zvolený ... alebo mal byť podrobnejšie popísaný cieľ projektu pre niekoho kto nepozná stracraft :),-1
356,"projekt bol zaujimavy, kazdemu sa hodi skusenost pracovat v time, no predmet si vazne vyzadoval vela casu a prednasky neboli prilis uzitocne",-1
991,"Náročnosť predmetu je veľmi vysoká. Za predmet Matematika 1 dostanem 9 kreditov, no za mechaniku iba 7, pričom na mechaniku musím vynaložiť omnoho omnoho väčšie úsilie, odporúčal by som znížiť náročnosť predmetu alebo zvýšiť počet kreditov na 9 až 10 za predmet.",-1
1080,"""motivacna"" prednaska, teda prva, bola viac matuca, ako vysvetlujuca a potom sa vrhlo na par tyzdnov oscilatorov, kedy clovek uvazoval, ze kde je ta optika? mozno by to aj chcelo zosuladit z teoretickou mechanikou, kde sa preberaju lagranziany ako take a nebolo by treba dva krat robit to iste",-1
78,"Oplatí sa zapísať, človek sa veľa naučí a naozaj to pomôže.",1
554,"Veľmi zaujímavé učivo, ktoré objasní, prečo niektoré zákonitosti v matematike platia. Veľmi dobre korešponduje s prednáškami a cvičeniami z bežnej matematickej analýzy.",1
1373,"Je to zaujimavy predmet, miestami trosku narocny ale myslim si ze ak clovek chodi na prednasky da sa to zvladnut pochopit. Trosku mi ku tomuto predmetu chybaju skripta, ale tak aspon to nuti chodit cloveka na prednasky :)",1
123,"Vyborny predmet, len tie cvicenia su dost chaos, casto mi nebolo jasne ako na to, ale chyba moze byt u mna...",1
2234,"Super predmet, ktory popri vsetkych logicky ladenych predmetoch cloveku ponuka moznost psychickeho odpocinku a rozvijania aj inych casti mozgu a nuti cloveka nad tym, aby sa zamyslal nad vecami okolo seba.",1
1047,"Nepáčil sa mi spôsob prednášok, bol podaný veľmi ""popularisticky"" z čoho sa prakticky nedali robiť veľmi dobré ucelené poznámky. Síce je to dobré, že to na hodine pochopím, ale nezapamatám si to dokonca semestra ku skúške, preto chýbajú ucelené poznámky",-1
1545,"Tento predmet som si zapísala aby som sa naučila pracovať s MS-Office. Ale pokiaľ mám pravdu povedať nedalo mi to dokopy nič. Viem aj to čo som vedela do teraz. Vyučovanie prebieha nevhodným spôsobom. Čas by sa dal stráviť aj užitočnejšie ako čakať kým MOŽNO niekto vyrieši zadanie. Dá sa povedať že 80% predmetu som presedela. A návod na riešenie: Veď tu len tak neseďte, skúste to niekde nájsť, bol úplne najnáučnejší. Samozrejme že sme si zadanie potom aj spolu vyriešili, ale ten čas kým som tam len tak sedela, sme sa mohli naučiť aj niečo užitočné. Do konca semestra som si vyčítala že som si predmet vôbec zapísala.",-1
3037,nuda,-1
2677,"Dobre sme precvicili latku z prednasok, zrozumitelne a dobre nam to cviciaci vysvetlil.",1
3130,Kladný,1
