,comment,class_label
902,"Mam jedinu namietku k preberanej latke. V urcitej casti sa zacnu preberat matice zobrazenia co je samo o sebe trivialne, ale ako to mozu pochopit ludia ktory to nikdy predtym nevideli bez toho aby im predtym bolo poriadne vysvetlene (hlavne na prikladoch) co to znamena a ako prevadzat vektory z baze do baze. Namietka spociva v tom ze na dany predmet by bolo lepsie menej prednasky a viacej cv",-1
1085,"Predmet je urcite zaujimavy a ucivo bolo pochopitelne. Ale moj nazor je, ze prednasky mohli byt riesene lepsie, konkretne by pomohlo keby prezentovane odvodenia boli obsahom bud skrypt k tomuto predmetu alebo premietanych prezentacii, co by umoznilo studentom venovat sa viac obsahu prednasky ako na zapisu poznamok (odvodzovanych vztahov) do zosita. Taktiez by to riesilo problem s materialmi na studovanie.",-1
2521,"Opäť jeden predmet, ktorý môže pomôcť s diplomovkou.",1
2322,"Otrasne cvicenia, zaujimave i ked narocne prednasky.",-1
2034,"Mne sa to páčilo, pokusy sú vo fyzike vždy zaujímavé a my ako budúci učitelia by sme sa s nimi mali určite často stretávať.",1
301,"Trosku Lepsie by sa dali vysvetlit thready, inak pekne. Zaujimave domace ulohy.",1
1309,"Osobne sa veľmi nestotožňujem s tým štýlom hodnotenia domácich úloh, že spomedzi piatich sa vyberú dve, ktoré sa opravia a ohodnotia, a ostatné sa zahodia. Pôsobí to na mňa príliš dojmom, že hodnotiacim väčšina úloh ani nestojí za prečítanie. Argument o tom, že cvičiaci nemá čas na opravovanie, považujem na predmete, ktorý má zapísaný okolo desať študentov, za prehnaný. Okrem tohto je ale predmet vedený rozumne.",-1
832,"Niektore cvicania mi prisli priliz kratke a neprinosne (hlavne cvicenie o optickych kabloch), asi by sa to dalo odcvicit aj s kratsou casovou dotaciou, alebo volny cas by sa mohol pouzit na vypracovavanie protokolov.",-1
2542,Predmet bol niekedy trosku nepochopitelny co sa tyka latky na prednaskach alebo programatorskych cviceni ked som nevedel co s aodomna chce,-1
1785,Anglicky jazyk sa zide kazdemu v tejto dobe takze odporucam. a som spokojny celkove s tymto predmetom .,1
2307,"podmienky absolvovania sme sa dozvedeli na konci semestra, sami nevedeli ako to bude prebiehat a niektore veci jeden tvrdil tak a druhy naopakten projekt bol dobry a zaujivamy len tiez na zaciatku nam daju nejaku predlohu ale my sme amli pisat nieco uplne ine co sa tomu vobec nepodobalo... sice nam poslali mail ze ako to mame pisat ale kto mal z toho pochopit ze ten dokument co nam dali ako predlohu mame uplne odignorovat...",-1
2156,Pre mňa osobne jeden z najzaujímavejších predmetov.,1
524,"Skvelé, dr. Stehlíková. Keď som sa nemohol dostaviť na prednášku, cvičenia, mohol som si to ""bez ujmy na psychickom zdraví"" naštudovať doma z jej skvele pripravených materiálov.",1
474,Vadilo mi iba miesanie sa pana Homolu do hodnotenia.. Za pisanie na wiki asi 50% moznych z celkoveho hodnotenia. Homolv zly vymysel,-1
1688,"nic proti uctovnictvu, mohlo by to byt aj celkom zaujimave, ale prednasky boli dost chaoticke takze som z toho skoro nic nemala",-1
1516,nudné prednášky.,-1
2075,Velmi mily nepovinny predmet :),1
1019,"Mne sa to pacilo pretoze som videl ake rozne simulacie sa daju na pocitaci robit, a ako su jednotlive problemy rozanalyzovane a prelozene do pocitacoveho jazyka. Bol to dost taky ze ""ahaaa"" a ""wow"" predmet. Co sa tyka riesenia samotnych problemov urcenych pre nas studentov, tak 95% bolo uplne lahuckych pre tych co vedia programovat a rozumeju objektovemu programovaniu. Pre tych co nevedia je tento predmet takpovediac zabity, ale to sa da zlepsit zlepsenim Zakladov Programovania v prvaku.",1
1202,"Čo sa organizácie týka, predmetu by sa *bezpodmienečne* zišlo nejaké miestečko na webe (výsledky, odporúčaná látka na domáce štúdium, oznámenia a pod.). Potom mnoho toho cenného času hlavne na cvikách, ale i na prednáškach, padlo na organizačné záležitosti. Tie sa dajú omnoho efektívnejšie riešiť cez internet (viď i Doodle.com pre dátumy písomiek).Písomky počas semestra som ja osobne považoval za relatívne ľahké v kontraste so záverečnou (ktorá, medzi nami, bola viac než len mierne genocídna :)).",-1
2823,"Znamkovanie typu povedz si taku znamku, aku tu svedomie dovoli.",-1
1120,"nevieme, ake su poziadavky na skusku, ale latka bola jednoducha a oproti urovni ostatnych predmetov zaostavala. Na ostatnych kurzoch sme brali daleko komplexnejsie veci a temy do ovela vacsej hlbky..",-1
2922,"3 hodiny týždenne na tento predmet sú zbytočne veľa, naviac sa obsahovo veľmi podobá prváckemu spracovaniu experimentálnych dát.",-1
139,proste.. cele ZLE.. na pohlad hlbsie ked sa clovek pozrie je to dost uzitocne ale narocne..:) treba tomu venovat fakt dost casu..,-1
2223,Najlepší predmet aký som zatiaľ mal,1
173,"Strasne trivialny predmet na vedomosti z informatiky. Chcelo by to mozno osobitnu verziu pre teoretickych informatikov, ktori veciam rozumeju a mozu ist serioznym tempom.Zabit 3/4 cvika lahkym dynamickym programovanim, ktore ma student magisterskeho studia lubovolnej informatiky vediet kedykolvek, je fakt zle. Journal klub by mozno chcel mensie skupinky. Ked je v skupine 7 ludi, tak to uz ide zle. Chapem, ze biolog by mal byt v kazdej, ale zase u nas som jeho pristup velmi necitil.",-1
469,"Strasne zle nastavene hodnotenieje sprostost aby najvacsiu vahu malo pisanie poznamok do wiki, pretoze neexistuje moznost aby do nej kazdy tyzden vsetci studenti napisali veci za 3b .. vacsinou to byva tak polovica .. takze vlastne teoreticky ani nieje sposob aby mal kazdy z tohto predmetu Acko .. aj keby to vsetci ovladalia teda ked to niekto nevie az tak dobre .. a nestiha do tej wiki dostatocne prispievat .. tak ma velmi male sance bud predmetom prejst .. alebo mat dobru znamku",-1
1049,Toto je podla mna top predmet ktory sa unas vyucuje v ramci zakladneho kurzu fyziky. Ucitelovi velmi zalezi na tom aby sme to z coho budeme mat pisomku pochopili naozaj a nie len na ten den a pol okolo skusky.,1
2777,"Fajn teoria, super priklady z praxe. Skoda len ze tam to asi az tak presne nefunguje :)",1
2366,"pre mna predmet menej zaujimavy ako matematika1, najma pre mnozstvo matematickych operacii, ktore treba v ulohach(skuske) robit",1
733,"Predmet nevyuzitelny do praxe. Pochybne hodnotenie pisomiek. V oboch pisomkach boli dva priklady rovnakeho typu, co znamenalo, ze ked clovek nevedel, alebo sa pomylil v jednom, bolo vysoko pravdepodobne, ze sa pomyli aj v druhom, mohlo to byt lepsie rozlozene.",-1
1487,"Vynikajúci predmet, ktorý naučí vidieť matematiku aj z inej strany. Doslova vidieť do nej.",1
1600,"prijemna prednaska , zaujimave cvicenia",1
2722,Vyzdvihujem snahu prednášajúceho podnietiť v nás hlbší záujem o ekonometriu a vynikajúci prístup na cvičeniach,1
