,comment,class_label
611,"Síce to bol len prvý semester, kedy sa vyučoval tento predmet, ale bol pripravený veľmi kvalitne. Problematika je inšpirovaná praxou a je veľmi zaujímavá. Pridanou hodnotou je, že vyučujúci sa touto témou zaoberá aj v praxi.",1
700,Tento predmet je celkom fajn :),1
2955,"Zavisi od temy a skolitela. Ked ma clovek stastie a bakalarke sa venuje, moze sa fest vela naucit.",0
1762,"páči sa mi, že sa učíme odbornú angličtinu, ktorú v profesionálnom živote aj niekedy možno využijeme",1
873,"Keďže ide o individuálne štúdium, tak sa nedá vhodne odpovedať na dané otázky. Ale je určite skvelé, že takýto predmet existuje.",0
2874,Velmi dobra prednaska (mnoho veci z praxe). Studijne materialy nam mohli byt dorucene skor.,1
3147,Dobry,0
349,"anketa bola - napriek mojim pripomienkam - ukončená priskoro, takže ste nemali možnosť vyjadriť sa potom, keď ste zistili (aspoň niektorí, ale môj pocit bol, že väčšina), že i ten teoretický obsah v tomto predmete je zaujímavý a užitočný. mal som dojem, že na prednášky chodilo málo ľudí kvôli negatívnejším ohlasom z minulého roka, keď sme predmet testovali prvý raz a hlavne nám vtedy katedra nedala skoro žiadnych cvičiacich (čítaj jedného cvičiaceho na povinný predmet celého ročníka), čím trochu poškodila celému predmetu. celková rada: menej čítajte názory ostatných študentov v ankete a radšej sa viac orientujte podľa seba, každý to vidí inak. tento rok to bolo s podporou vašich projektov o kus lepšie a aj vaše projekty boli prakticky všetky výborné a dotiahnuté do konca. niektoré skupiny zápasili s tým, že niektorí študenti ukončili štúdium počas semestra, ale sám som bol prekvapený, ako ste to všetko napriek tomu výborne zvládli. ďakujem za myšlienky z anketových príspevkov. súhlasím s tým, že dva semestre ",0
1799,"Myslím, že by sme sa mali viac venovať odbornej angličtine typu matematika, keďže študujem matematiku.",0
1559,"Islo tu dost o anglictinu a sposob prezentacie, preto nebolo tempo az tak rychle. Obsah predmetu zaujimavy a vzhladom na zahrnuty trening soft skills celkove mozno predmet odporucit aj nealgebraikom.",1
2916,"A&G 2 je omnoho teoretickejsia aj ked vsetci stale omielaju, ze je potrebna pre dalsie potreby vo fyzike...ja to posudit neviem, ale traduju sa take povesti :)A co sa tyka hviezdneho obsadenia, co vam poviem, algebraicke nebo ;) Zlatos a Hegyi, to je teda kombinacia :) zaruka kvality a mnohych vtipnych chvil :)",1
175,"Kazdopadne su tam dost tazko pochopitelne metody, ale celkom dobre vysvetlene. No urcite som prisiel na to, ze bioiformatika nieje nic pre mna.",0
3069,potrebnee,1
2161,"Tento predmet je velmi zaujimavy nebyt vysvetlovania uciva p.p. Komaru, ktorý vám aj jednoduchu latku dokaze vysvetlit tak ze tomu nepochopite aj ked do toho budete cumiet doma 2 hodiny a budete sa snazit tomu pochopit, proste on tomu urcite rozumie ale nedokaze to vobec ale vobec podat dalej...keby niet cvičeni s p.p.Kohanovou tak sa nedostanem hadam ani ku skuske :D",0
450,"Zajimavy predmet, ktory moze rozsirit rozhlad studentov. Jedina nevyhoda bola, ze temy projektu boli vypisane az 2 tyzde pred koncom semestra.",1
92,jediné negatívum bolo to skoro ráno :),0
780,"tento predmet bol skor zrhnutim uz skor nadobudnutych vedomosti, chybala mi v nom trochu ta biofyzika, ktora vyplyva z nazvu. inak sa mi predmet pacil, aspon si clovek osviezi nejake veci, ale co sa tyka novych informacii, tak tych az tak vela nebolo. tiez skoda, ze sa jedna o externeho vyucujuceho, ucivo je potom odprednasane za relativne kratky casov interval a clovek toho vela nevnima",0
1726,"Velmi dobry predmet, ale kreditne nie spravne ohodnoteny. Predmet mal 2 cvicenia kde bola povinna 100%-na ucast na teoretickych cviceniach a do polky semestra aj na praktickych, co sa potom zmenilo. Na teoreticke cvicenia sme riesili domace ulohy, rozcvicky, polsemestralnu pisomku a koncosemestralnu pisomku. Co bolo myslim dost. Popri tom sme museli kazdy tyzden odovzdavat domacu ulohu na prakticke cvicenia. O pravidlach praktickych cviceni ani pisat nebudem, pretoze sa pocas semestra niekolko krat menili (10? aj viac) bez upozornenia, iba zmenili na stranke, teda odporucam kontrolovat stranku kazdy den. Vzhladom na mnozstvo prace, ktoru tento predmet pozadoval by som prehodnotil, ci je spravne za tento predmet davat 5 kreditov!",0
1669,"Jeden z tych zaujimavejsich predmetov. Ocenila by som zaujimavejsie  prednasky, aj vysvetlit nieco, nie len pisat veta dokaz veta dokaz.... Z prednasok sa latka nedala pochopit, vdaka bohu za cvicenia.",0
1755,Dolezity ale tazky predmet. Hlavne pre matematikov.,0
945,"keďže je to povinný predmet, tak ho treba odporučiť",1
378,"Keby sa stihol prebrať JavaScript (ktorý sa niektoré roky stihne, niektoré nie) a nerobilo sa zbytočne veľa s tabuľkami, ktoré sa dali prebrať aj za menej hodín, bolo by to lepšie.",-1
3092,Ok.,0
2272,Asi najlepsi predmet semestra.,1
1718,"Celkom ťažký predmet, ale dá sa, kludne ho zvládnu aj priemerný študenti. Má trošku nehumánne pravidlá :)",0
1155,"Neistota v hodnotení, hodnotenie písomky neisté, neistota podielu hodnotenia z projektu voči písomke.",-1
850,"Dal som 3/5 za kvalitu a predmet v sucasnej podobe skor neodporucujem ostatnym z nasledujucich dovodov:1) Uplne zbytocne sa prve 3 tyzdne (a obcas aj potom) opakovali veci, ktore su nam zname z linearnej algebry (vektorove priestory, skalarny sucin, ...) s z Feckovych grup. Ak zopakovat, tak dobre. Ale 3 tyzdne = 6 prednasok ?? Kvoli tomu sme sa nedostali k zaujimavejsim veciam.2) V casti Lieove grupy sa dojde k vysledkom znamym uz od tretiackej prednasky o Lieovych grupach ibaze pomocou diferencialnej geometrie. Bolo by to OK, keby sa to robilo sviznejsie. No bohuzial sa nestihlo povedat nic o reprezentaciach Lieovych grup, co je obrovska skoda.Pocul som o tomto predmete, ze bol zly uz za cias Presnajdera (hore spominane problemy sa tykaju zleho sylabu prebrateho od neho). Musim vsak velmi pochvalit Baleka za jeho obrovsku snahu pracovat na sebe aj na predmete. Naozaj mu velmi na tom zalezalo, no bohuzail boli tu problemy spojene s tym, ze to ucil prvy rok. Velmi ocenujem, ze mnohe z tychto problemov (nap",0
76,"Pisomky boli vcelku narocne ale aspon to bolo vykompenzovane relativne jednoduchymi projektami - za 2kredity ale toho trebalo robit dost a ucit sa netrivialne veci, preto by to podla mna byt ohodnotene vacsim poctom kreditov (3-4)",0
829,Vyucujuci z meotaru premietne vzorce a poznamky suvisiace s latkou a monotonnym hlasom ich pomaly cita. Kontraproduktivnejsim sposobom sa podla mna uz prednasat neda. Predmet som prestal navstevovat.,-1
1837,trivialny a zaujimavy predmet ? to sa len tak nevidi.,1
2133,Bakalarska praca by mala byt urcite za viac ako len za 4 kredity!,-1
1989,"Bolo to celkom fajn, ale možno by sa dalo ist trochu do viac do reality. Zrovna v tomto predmete to je mozne a pan Potocky urcite ma na to, aby to bolo este zaujimavejsie.",0
743,"Na premenne hviezdy som sa tesil, chcel som porozumiet fyzike takychto hviezd, lez vela som neporozumel, na nejake podrobnejsie (co i len trocha) vysvetlovanie zase nebol cas (podla mna by sa mal venovat prave tomu), prednaska bola skor taka encyklopedicka (naco je to dobre?). Prva prednaska (1z3) ako prehlad o ziareni, hviezdach a metodach vyskumu hviezd bola podla mna uplne zbytocna, vsetko sme to uz poculi, mohlo sa to riesit aj tak, ze by nas obletel mail pozrite/zopakujte si abcd, aby ste rozumeli na dalsich prednaskach. Tempo prednasok bolo velmi pomale a pocas dvoch 4hodinovych (stvrtok vecer, piatok rano) seans clovek naozaj musel bojovat so spankom.",-1
1437,"myslim, ze v prvom rocniku, ked ide o ziskanie ""zakladov"" by cvicenia mal viest prednasajuci Niepel, tym nechcem povedat ze cviciaca by nerozumela ucivupredmet je dost taky abstraktny, a to je pre prvaka nove a kedze cvika su len jednohodinovka, podla mojho nazoru by ich mal viest clovek s velmi dobrymi ""pedagogickymi"" skusenostami, ktory ma ovela vacsi nadhlad na riesenie problemov",-1
1141,"Aj keď som väčšinu preberanej látky už poznal, snažil som sa chodiť na prednášky, lebo boli naozaj kvalitné.",1
2260,"Fajn predmet akurat niektore cvicenia sa tazsie stihali, kvoli casovo narocnejsim uloham.",0
2437,"zaujimavy predmet, kto ma rad prakticke programovanie, tak odporucam",1
27,"Skvely prístup profesora ... škola ""hrou"" respekt. učenie a zlepšeovanie logiského uvažovanaia pomocou skvelých robotických ukážok ! Vec ktorá mi chýba na iných predmetoch ! ...",1
1376,"páčilo by sa mi keby sa cez semester prešlo viac príkladov, nakoľko schopnosť riešiť príklady sa vyžaduje na skúške :)",0
2234,"Super predmet, ktory popri vsetkych logicky ladenych predmetoch cloveku ponuka moznost psychickeho odpocinku a rozvijania aj inych casti mozgu a nuti cloveka nad tym, aby sa zamyslal nad vecami okolo seba.",1
2258,"vysvetlene to je pekne, avsak, tie 3 hodinove prednasky su niekedy velmi obtiazne na to, aby sa clovek stale susdredil. mozno by bolo dobre nieco si aj precvicit a mat nejake male domace ulohy",0
124,"Linux pod ktorym sa pracuje na cviceniach nie je bohvieako lakavy. vobec ma nenavnadil na linux, skor odradil.",-1
517,V priebehu výučby sa nám vystriedalo na jednotlivé prednášky a cviká 7 rôznych učiteľov. Cvičenia boli fajn. Priebežné písomky nám dali zabrať. A vyjadrovať sa treba presne jedným slovom–žiadne synonymá a vysvetlenie vlastnými slovami. Nekonečné to doobedie s chémiou.,0
1501,"Mám pocit, že hlavne v časti operačných systémov by sa dali do obsahu predmetu vybrať zaujímavejšie a hlavne praktickejšie veci ako tie, ktoré sme mali odprednášané. A myslím si, že by bolo dobrým krokom zaradiť tento predmet medzi výberové predmety pre všetkých študentov (nielen pre niektoré odbory).",-1
2974,"páčila sa mi voľnosť predmetu, či chodiť a či nie. občas to bolo zaujímavé, občas menej. ak sa vám chce robiť prezentáciu na bio-fyzikálnu tému a počúvať každú hodinu, čo si pre vás pripravili vaši spolužiaci, tak je práve pre vás.",1
1614,"Vzhľadom k tomu, že väčšinou si z toho vyučujúci spravia ďalšie cvičenia a nadväzujú s látkou tak je v podstate nevyhnutné tam chodiť. Jediný rozdiel oproti povinným cvičeniam je, že sme nemali písomku každú hodinu, ale nosili sme vypracované úlohy.",0
105,"Preberaná látka nie je zaujímavá, ale každému by som odporúčal tento predmet. Cez semester máte dve písomky, a cez skúškové musíte odovzdať softvérové dielo. Čo by som vyčítal je to, že dodnes nevieme výsledky z midtermu a z finaltermu, asi sa dozvieme, keď odovzdáme projekt.",0
1532,"Tento predmet ma moc nebavil, preto by som ho neodporúčala ostatným.Ja som nemala nikdy vzťah k programovaniu.",-1
764,"Obsah predmetu je zaujímavý a pre biomedicínskeho fyzika potrebný. Čo mi však trochu prekážalo bolo chaotické preberanie látky, žiadna ucelené skriptá, alebo literatúra, čo je potom problém, keď sa človek učí na skúšku.",0
2726,"jeden z najlepsich predmetov tento semester. pacilo sa mit, ze v projekte sme nemuseli spracovat striktne ekonomicku temu.",1
2879,chýba prehľadnejšia štruktúra predmetu,-1
141,"Polovica matematiky bola skôr o oprašovaní si vedomostí zo SŠ, avšak tá druhá polovica bol celkom zaberák, hlavne pre tých, ktorí sa nevenovali niektorým okruhom počas doterajšieho štúdia. Hlavne derivovaniu a integrálom. Prednášky boli celkom pochopiteĺné a veľmi dopomohla aj možnosť samoštúdia.",0
1966,"ucitel ktoreho sme mali na ping pong v utorok o 11tej bol kazdu hodinu nejak podrazdeny, jak keby cakal za co by nas mohol napomenut, bol neprijemny",-1
481,Odporucam hlavne kvoli zaujimavim a praktickym cviceniam.,1
1306,"Predmet si berie na mušku naozaj poriadnu dávku nie zrovna triviálnej látky, a nebolo by možno na škodu tento obsah zúžiť, vzhľadom na to, že niektoré témy sú preberané na iných predmetoch, ako napríklad Základy umelej inteligencie 2, Evolučne algoritmy.",-1
426,"Predmet bol pre mna tazky, ale zaroven zaujimavy (obsahom). Na DU bolo prilis vela prace (urcite nie 150% casu prednasky, do tyzdna som tomu bezne venoval okolo 10 hodin, co je na jeden predmet strasne vela). Tiez ma demotivovala:> neochota cviciacich s niecim poradit, > pomerne neskory termin opravy du (odovzdaval som (i+3)tiu du a stale som nemal spatnu vazbu z i-tej du, takze som kludne mohol opakovat svoje chyby) a >  chyby v prednaskach (na vacsinu z nich som prisiel len vdaka knihe od Hromkovica)a domacich ulohachPredmet by bol lahsi, keby bol vacsi priestor komunikovat s cviciacimi a keby mali vacsi zaujem, pretoze nejasnych veci pocas semestra bolo dost a bolo potrebne to s niekym komunikovat.",-1
1628,"Na prednášky je samozrejme zbytočne chodiť. Cviká boli ok, ale neohúrili.",-1
1320,"Pekna prednaska pretkana vsuvkami z praxe.Idealne by bolo mat prednasky v popoludnajsich hodinach. Rano sa tazko stihali.",0
2534,"prednasajuci dobre prednasa, a nastastie som mal aj cvika s nim, cize som spokojny s predmetom",1
1145,"Jeden z najlepších predmetov na študijnom programe Informatika, vytkol by som len to, že časť učiva (najmä v prvej polovici semestra) je podmnožinou prváckych predmetov (Programovanie 2, UKTG, UDŠ...).",1
1447,"Predmet po obsahovej stranke velmi zaujimavy a putavy. Ale zdalo sa mi akoby to cele bolo akesi zahmlene, prednasajuci nie je uplne najlepsi recnik (co ako sam povedal o sebe vie) ale to by nevadilo, len to obcas bolo dost nesystematicke, niektore pojmy, ktore sa casto pouzivali vobec neboli na prednaske definovane(napriklad tok diferencialnej rovnice, poincareho zobrazenie), prednasajuci sa casto mylil a bol dost chaoticky, vsetko hovoril v jednom jednoliatom celku a niekedy bolo tazke rozlisit, ciel toho co sa robi, tiez ucel toho na co sa to robi...boli skripta, no nie celkom stastne napisane a je v nich vela chyb(dost ocividnych)...ale ako uz bolo na zaciatku spominane obsahovo velmi zaujimavy predmet, ale akoby to cele bolo trochu nasilu take rozmazavane.",0
1392,"Pomerne jednoduchý a malý predmet, ktorý v zaujímavosti niečo zaostal za Tvorbou efektívnych algoritmov. Vypočítateľnosť bola iba letmo preletená, predmetu by sa možno zišlo nejaké rozšírenie, viac prepojenia látky s reálnym svetom. Prednášajúceho nemeniť.",0
143,"Po prichode p.p Presnajdera kvalita prednasok vzrastla, ale predmet Matematika povazujem za najmenej jasny, ucebna latka nebola tazka, len sposob vyucby ju podstatne stazovat.",0
872,"Predmet ako taky nie je zly, ale je tu zbytocne velky prekryv z tretiackym predmetom Uvod do fyziky materialov. Je nepochopitelne, ze ludia, co potrebuju vediet veci, co sa tam ucia, tam nemusia chodit. Ale viem, ze je to mimo kompetencie prednasajucich. Napisal som, ze ho skor nedoporucujem, ale jediny dovod na to je ten, ze je tu velmi malo novych informacii (co robi predmet dost lahkym).",-1
1810,Pre mňa tento predmet neobsahoval v podstate nič nové ani obohacujúce.,-1
2611,"Urcite by som tento predmet neodporucil informatikom vseobecne, ak si chcu zalozit firmu prosim ako volitelny predmet super vec.",0
2922,"3 hodiny týždenne na tento predmet sú zbytočne veľa, naviac sa obsahovo veľmi podobá prváckemu spracovaniu experimentálnych dát.",-1
1631,na cvikach bol chaos co sa tyka ich hodnotenia. viackrat pocas semestra sa menili pravidla hodnotenia pricom bulharska konstanta ktorou sa nasobili body z cvik bola znizena na poslednych dvoch hodinach smerom nadol z 1.5 na 1.25 co sposobovalo celkom rozdiel v pocte bodov.,-1
3075,5*,1
1661,"Matematika v celej jej krase. Relativne aj pochopitelne vdaka aparatu z predosleho studia.Definicie, Vety a pokecy su iba na skodu celemu predmetu",0
763,Tieto veci sme už brali v nižších ročníkoch a až tak veľa nového som sa nedozvedela,-1
2817,">> Dobra prilezitost pre studentov vyskusat si prezentovat odbornu temu pred publikom. Hodnotenie predmetu nejasne (nejaky relativny Gauss?), asi to vyplyva zo zvlastneho vazenia domacich uloh voci referatu a ucastiam. Bodovanie ucasti zbytocne, ak sa tym sledovalo to, aby studenti videli ostatnych prezentovat, aby sa potom lepsie prezentovalo im, tak tento system asi nesplnil svoj ucel (sudiac podla slabej ucasti).",0
227,jednoducha cesta ku 2 kreditom,0
2953,"Nebudem hovorit preco, ale proste mi tie prednasky nedali nic.",-1
702,Prijemny vyklad na kvalitnych podkladoch. Super ulohy (prinajmensom vyzerajuce ako) z reality.,1
204,"Predmet chce byt o vsetkom a je o nicom. Na predmete su najzaujimavejsie prednasky od externych ludi.Ochota riesit problemy je mizerna, na pisomke nepodstatne veci (vysledky statistik?). Celkovo dieri v hodnoteni predmetu..",-1
203,"Odporucam ak ho mate povinny (moj pripad) alebo sa zaujimate o webdesign (to nebol moj pripad), ale na druhej strane ten zaujem u mna v podstate tento predmet casom prebudil takze..",1
292,uplne vtipne prednasky da sa na nich dost nasmiat a dobre je to cele vysvetlovane aj prednasky aj cvicenia,1
472,"Teoria vyzerala dost zlozito, ale na cvikach to vzdy cviciaci dobre objasnili a ukazali, ako sa da co vyuzit.",0
1980,"Florbal je super. Raz za tyzden som mal moznost prestat pocitat, premyslat a sediet za pocitacom a prijemnym a uzitocnym sposobom relaxovat.  Potesil ma mikulassky turnaj, prijal by som viac sportovych aktivit.",1
1653,"Samotná tematika predmetu Numerických metód je zaujímavá, ale na tomto predmete mi chybálo prepojenie na využitie metód na riešenie konkrétnych problémov. Myslím si, že by bolo dobré keby sa študenti učili jednotlivé metódy rovno programovať v nejakom vhodnom programe (napr. Matlab).",0
2528,Tvorivé písanie b,0
1571,"Pre iné odbory ako analýza trochu menej praktické, ale hodiny s p. Valáškom stoja za to:) Navyše ma tento predmet prinútil trocha viac premýšľať s nadhľadom.",1
1732,"Najzaujimavejsi predmet aky som absolvovala. Je toho sice trochu vela ale vsetko sa to da pochopit, latka je zaujimava a predmet trochu pripomina strednu skolu :)",1
989,"Mechanika dá zabrať tým, ktorí sa na stredných školách nezúčastňovali rôznych fyzikálnych súťaží. Prechod medzi strednou školou a vysokou nebol žiadny.",0
1969,Najlepsi predmet :),1
871,"Prednášky sú nudné, neinteraktívne, prednášajúci prepisuje kompletné poznámky na tabuľu.",-1
902,"Mam jedinu namietku k preberanej latke. V urcitej casti sa zacnu preberat matice zobrazenia co je samo o sebe trivialne, ale ako to mozu pochopit ludia ktory to nikdy predtym nevideli bez toho aby im predtym bolo poriadne vysvetlene (hlavne na prikladoch) co to znamena a ako prevadzat vektory z baze do baze. Namietka spociva v tom ze na dany predmet by bolo lepsie menej prednasky a viacej cv",-1
1343,"Dolezity predmet, avsak kto si mysli, ze mu bude stacit skuskove obdobie na to aby sa to cele naucil sa velmi myli",0
1836,"prihlásila som sa na tento predmet, lebo boli slubene prednasky od rôznych odbornikov ktory nie su z fakulty co neboli, takze dosť zápal",-1
2783,tento predmet mi ukazal ze aj numerika moze byt celkom zaujimava,1
2797,Treba si dat pozor na vyber tymu na prezentacie... to ma naucil tento predmet:),0
1581,velmi som uvital moznost samostatnej prace bez navstevy cviceni.,0
1793,Mne osobne sa moc páči prístup pani Zemanovej ako aj spôsob výučby. Dávam jej 5*,1
696,iba chvála,1
3051,Supiš!!!,1
2926,"Predmet by sa mal zlúčiť s predmetom Spracovanie experimentálnych dát, vyučovanom v prvom ročníku, nájsť schopného vyučujúceho, dať tomu primeraný počet hodín do týždňa a bol by to celkom užitočný predmet.",0
317,"Kedze som mal temu diplomovej prace vybratu uz davno, bol tento predmet pre mna viac ako zbytocny. Pre cloveka, ktory ale nevie co si ma vybrat moze byt uzitocny. Prezentuju sa tu temy urcitych veducich. Bohuzial dokym sa doprednasa posledny, tak malokomu ostane este volna tema ...",0
941,"Tento predmet by mohol byť veľmi zaujímavý, avšak chelo by to trochu zrenovovať systém akým je prednášaný.",0
1826,Premet je zrozumitelny a lahko sa da naucit aj ked clovek nema najvyzsiu dochadzku.,1
2567,"Prednasky som nenavstevoval, hlavne preto ze boli na internete kde k nim boli prilozene aj ukazky a zdrojove kodu co bola jadna uzasna vyhoda tohto predmetu, preto som si radsej sadol doma a hned si to aj vyskusal ako by som o tom iba pocuval, civcenia boli zaujimave, niektore sa dali stihnut za 20 minut na ine mi ledva stacila ta hodina a pol, inak je predmet vyborne spracovany co sa tyka materialov a niktor by po ich prestudovani a pracou s vypracovanymi ukazkami nemal mat problem s urobenim skusky",1
2401,"Strašne veľa vecí v angličtine, menej kvalitné prezentácie. Najhoršie asi veľa učenia. Hlúpe bodovanie.",-1
118,"Celkom fajn predmet, také celkové zhrnutie interakcie človek - poč.",1
628,"ucivo je celkom zvladnutelne, a velmi dobre su spisane pocitacove poznamky z prednasok.",1
2755,"makroekonomia sa v poslednej dobe velmi meni a je nejasna, tak je tazke sa nieco o nej ucit (resp ju ucit)",0
1049,Toto je podla mna top predmet ktory sa unas vyucuje v ramci zakladneho kurzu fyziky. Ucitelovi velmi zalezi na tom aby sme to z coho budeme mat pisomku pochopili naozaj a nie len na ten den a pol okolo skusky.,1
1290,Každý kto si chce precvičiť svoje algoritmické myslenie a nie je lenivý by si mal tento predmet zapísať.,1
2602,Za negativum povazujem dochadzanie na durhu stranu Bratislavy na fakultu Manazmentu UK.,-1
1345,"K predmetu neexistuju skripta, ktore su dost potrebne.Testy su velmi neprijemne - daju sa vyriesit dobre, ale neprimerane velka cast je o bruteforce-ovani , pripadne aplikovani neako (dopredu znameho) algoritmu na data (- nieco, k comu sa da vymysliet algoritmus takmer trivialne a na pisomke sa aplikuje rucne).Z mojho pohladu by bolo ovela lepsie dat pisomku mozno o trochu tazsiu, ale s viac casom a bez prikladov, ktore sa daju naprogramovat. V pripade ze zvazujete tento predmet (nemate ho povinny) - nedoporucujem",-1
1798,"Anglický jazyk ma tento semester neskutočne bavil. Hodiny boli krásne oživené a zároveň mnoho naučili. Doteraz(do vysokej školy) ma anglický jazyk veľmi nebavil, ale po týchto hodinách sa to dosť zmenilo. Obzvlášť za to vďačím nášmu vyučujúcemu.",1
1971,"v zimnom období v telocvični neskoro večer trochu viac svetla by to chcelo, človek hrajúci bedminton mohol mať trochu problém sledovať košík :D",0
