,comment,class_label
751,"Vynikajúci predmet, najvacsie plus bolo to, ze sme si mohli vybrat cast fyzikalnej chemie ktorej sa chceme venovat.... Doc. Mach naviac dokaze posluchacov zaujat aj svojim prejavom a sposobom vysvetlovania a na prednaskach nestratite pozornost, lebo mach obcas prida daky vtip :))",1
2059,Celkovo to bol super predmet a aj dosť prínosný. Určite sme mali možnosť didaktického rastu. :),1
1534,"mna celkovo programovanie ako predmet zaujima, aj ma celkom bavili ulohy ktore sme mali naprogramovat my..",1
3058,Zbytočné.,-1
393,"skvely predmet, na ktorom sa nielen informatici vela naucia...som ozaj velmi spokojna aj prednasky aj cvicenia nemali chybu...",1
2535,"Zaujimavy predmet na pochopenie zakladov deklarativnych jazykov. Ucivo je v podstate uplne trivialne, osobne som to vnimal skor ako taku dennu rozcvicku rozmyslania. Na testy som sa neucit ani zbla doma, len som chodil na cvika a prednaky co bohato postacovalo. Ludia co s tymto mali problem by mali popracovat na svojom programatorskom rozmyslani.",0
346,"predmety s panom Popperom su take ine ako ostatne. Sikovny cloviecik, vselico porozprava a vyzna sa vo vela oblastich informatiky a zdravotnictva ale akonahle sa ide k teme predmetu tak to je gulas vselijakych vyznamovo a syntakticky poskodenych alebo nejasnych viet, casto krat na 5 riadkov. Ale aj tak z toho nemam zly pocit, lebo keby tento pan rozpraval aj po hebrejsky tak posobi pozitivnou energiou a clovek z neho ma radost.",-1
636,"Tazko povedat, svojim sposobom ten predmet nie je uplne nezaujimavy, skor uplne mimo nas odbor",-1
1443,"no trochu zle premysleny predmet. zrejme je to chyba maleho poctu hodin cvik, ale clovek si z nich moc neodniesol. vacsinou islo o prezentaciu prikladov, ktore niekto vyriesil, cize boli to hlavne priklady, ktore sa nejak sedliackym rozumom zvladnut dali a na tie zlozitejsie nedoslo. a chcelo by to vopred upresnit pravidla na ziskavanie bodov z cvik, napr povinny pocet prezentacii alebo cokolvek coho by sa dalo nejak chytit.",-1
2278,Predmet je super ale privítal by som viac materiálov.,1
3109,Fajn,0
2317,"Kto chce vediet viac o databazach, nech si zapise:) Prebralo sa hadam vsetko co treba vediet ako zaklad k db, na cvikach sa programovali dopyty, sice niekedy server nesiel, ale to sa stava :) Mali sme sancu vyskusat si taky mensi db projekt, aj so specifikaciami (ktore dali trocha zabrat), ale inak nic narocne. Na zaciatku sice nebolo uplne presne povedane ako sa co bude hodnotit, ale to mne osobne nevadilo, neskor bolo vsetko upresnene.",0
2521,"Opäť jeden predmet, ktorý môže pomôcť s diplomovkou.",1
2648,"Urcite by prospeli skripta urcene specialne pre biomedicinskych fyzikov. Znacnilo by to skvalitnilo vyucbu,vzhladom na maly pocet hodin a knihu s velkym mnozstvom detailov,ktore nikto nevie, do akej hlbky mame vediet.",0
684,Vynikajuco profesionalne odprednasane aj odcvicene.,1
2134,"Ohromny chaos na strankach tykajucich sa prac a aj na seminari. Ziadne jednotne pravidla, co treba spravit zavisi od kazdeho zadavatela zvlast :/",-1
645,"Obsah predmetu považujem za primeraný, študent okamžite vidí praktické využitie nadobudnutých znalostí. Pokrytie študijnými materiálmi bolo vynikajúce.",0
577,Presne takyto typ predmetu mi chybal. Student ma moznost velmi dobrej komunikacie na rozne odborne temy. Vyhody: mensia skupina a tym osobnejsi pristup pri vyucbe. Odporucam pre tych ktori chcu vediet o ekonofyzike a aj aktualnych ekonomickych tem.,1
2554,Výborný a praktický predmet.,1
1183,Prednášky sú pútavé.,1
468,"kto ľúbi wikipediu, nech sa páči, a ak do nej budete pravidelne prispievať, tak teoreticky sa da na nej nahrabat tolko bodov, ze pomaly aj bez ucenia by ste to spravili.",-1
3149,Ťažký,-1
2143,"Blaho bol super, aj ked bol na nas dost tvrdy. Dozvedeli sme sa vela dolezitych informacii a dostali cenne rady do pisania.",1
2066,Pri tomto premete je tazko hovorit o nejakej preberanej latke a pod ale kazdopadne je to podla mna velmi dobry napad nieco taketo robit. To ze je to este aj kreditovo ohodnotene je len ceresnicka na torte,1
2699,"Po prvej prednáške nasledovalo ignorovanie tohto predmetu až do konca semestra, neodporúčam nikomu.",-1
405,Skratit skusku na cca 2hod.,0
2153,Podla mna bol tento predmet pomerne zbytocny lebo cas straveny na hodinach by sa dal vyuzit uzitocnejsie. Namiesto prezentovania praci by sme mohli napriklad hovori o tom ako pisat bakalarku. Vela z nas malo velke problemy s formalnymi strankami prace lebo nam nikto presne nepovedal ako mame pisat.,-1
1877,Človeku dobre padne aspoň raz do týždňa si zacvičiť.,0
1229,"Predmet má jeden seminár do týždňa, kde sú ukázané trasformácie, ktoré by mali ovládať všetci, ktorí absolvovali GSVM. Programovací jazyk je nezávislý aj keď je z pochopiteľných dôvodov preferované c++.",0
1006,"Málo absolvovaných prednášok, vstávanie v piatok ráno nebolo totiž najlákavejšie a najľahšie, no absolvované prednášky boli zaujímavé, hoci niektoré veci boli trocha ťažké a nepochopiteľné na to, že sme prváci. Vlastne ešte neviem, či pôjdem na skúšku.",0
1961,Je to príjemné odreagovanie sa od náročného učiva v škole. Nevýhodou je pre mňa ako pre dochádzajúceho čas konania TV.,0
2428,"Trocha by som pozmenil systém cvičení. Na cvičeniach, ktoré by boli nepovinné robiť domáce úlohy namiesto zadaní, ktoré už nikdy neuvidím.",0
2236,"je to taka oddychovka, ale velmi zaujimava, preberaju sa zaujimave temy ohladom internetu okolo nas",1
1100,Výborný predmet.To čo sa tam učíme potrebujeme aj na mechanike.,1
2012,"podla mna je to za malo kreditov, je to zaujimavy predmet ale je celkom narocny a 3 kredity je malo, a urcite by sa k nemu mali pridat cvicenia!",-1
1601,"V pohode predmet, človek sa dozvie mnoho zaujímavostí i praktických informácií do života.",1
