,comment,class_label
2097,"Tento predmet je zaujímavý pre tých, ktorí by radi zistili, ako vlastne vnímame veci okolo seba. 4 z 5 hviezdičiek dostal u mňa však preto, že často to boli semináre - monológy, a vzhľadom k neskorým hodinám, kedy bol vyučovaný, to spôsobilo stratu pozornosti. Uvítala by som preto viac dialógov, či skôr viac brainstormingu, prípadne niečo ""akčnejšie"".",1
2566,"Tento predmet môžem jedine odporučiť. :)Určite by sa zišlo pokračovanie predmetu, kde by sa preberalo niečo ako JavaScript, Ajax a pod.",1
1984,zabiják času,-1
3059,zaujímavé,1
977,K predmetu chýbajú cviká.,-1
433,"teoreticke a privelmi svojske chapanie pojmu ""teoreticka informatika"". velmi nezaujimavy predmet. keby nebol povinny tak ho nikto nema. odradujuca latka aj problematika. aplikovana informatika by mala byt o niecom inom.",-1
2227,"Perfektny predmet, idealny na odpocinutie si od zlozitejsich predmetov :)",1
2859,je to v celku dobrý voliteľný predmet. nezaberá veľa úsilia a niečo sa dozviete. odporúčal by som ho...,1
1201,malá časová dotácia... prípadne treba viac rozlišovať medzy matikmi a informatikmi a nedávať rovnakú písomku,-1
7,"Predmet dobry, ale tazky v tom ze na prednaske som castokrat veci nepochopil, odpovede som musel hladat u kamaratov -  pritom boli castokrat trivialne len stacilo povedat toto spravis takto a toto takto to je cele a trvalo to 10min a nie hodinu a pol za ktoru to neviem pochopit. To je vidno aj na cviceniach kde ked su cvicenia teoreticke a mame sancu to pochopit rozcvicka dopadla podla mna o 100% lepsie ako ked sa programovalo nieco co bolo den pred tym na prednaske - teda cerstve ucivo bez moznosti precvicenia a pochopenia. Dalsiu vec by som chcel povedat, ze programovacie cvicenia NIE JE mozne stihnut za cas urceny na cviceniach. No vyzdvihol by som urcite pristup a ochotu ucitelov venovat sa a pomoct ziakom, co nie je skor rarita. Aj ked je tazsi predmet tak clovek dostane pomerne vela sanci ako bojovat o prejdenie alebo lepsiu znamku, len treba mat zaujem",-1
311,"Podla mna velmi dolezity predmet pre informatika, len prilis vela prace, kazdy tyzden 1-2 vecery zabite ulohami, cast uciva sa mi zdala zbytocna.",-1
1497,"Bolo to velmi fajn, aj pre uplnych zaciatocnikov, ale este uvidime aka bude skuska",1
2323,"problem je, ze latka je preberana systemom: ""existuje toto, toto, aha a este aj toto"", a nie systemom ""toto funguje takto lebo..."" a este bol problem aj s pisomkami, pretoze mali v roznych skupinach hlavne zo zaciatku uplne neporovnatelnu narocnost, v niektorych pripadoch nevyriesitelnu podla prebrateho uciva",-1
2887,Výborný predmet.,1
2251,"Názov predmetu minimálne nezodpovedá skutočnému obsahu. Pod pojmom ""formálne metódy tvorby SW"" si skôr človek predstaví napríklad špecifikovanie, ako má SW vyzerať, jeho návrh (napríklad UML). Tento predmet vyzeral tak, akoby jeho cieľom bolo len poskytnúť ďalšie dve dvojhodinovky pre predmet Programovanie paralelných a distr. systémov",-1
859,"Tolko prepracovavane skripta a predsa su tam chyby a miestami su nezrozumitelne, ucit sa z nich na skusku je trochu problem.",-1
1246,Nutné zlo. Možno by nebolo treba až tak trápiť ľudí s dochádzkou,-1
1080,"""motivacna"" prednaska, teda prva, bola viac matuca, ako vysvetlujuca a potom sa vrhlo na par tyzdnov oscilatorov, kedy clovek uvazoval, ze kde je ta optika? mozno by to aj chcelo zosuladit z teoretickou mechanikou, kde sa preberaju lagranziany ako take a nebolo by treba dva krat robit to iste",-1
774,"Tento predmet by mohol byť zaujímavý a myslím si, že pre biomedicínskeho fyzika potrebný, keďže aj týmto smerom by sa mohol absolvent uberať. Taktiež diskrétne a spojité modelovanie je súčasťou otázok na štátniciach.Napriek tomu by som tento predmet neodporúčala (ale je bohužial povinný), pretože práve modelovanie nebolo poriadne ani prebraté, ani na cvičeniach sme nemodelovali, len veľmi málo. Potom bol problém pri spracovávaní zadaných úloh, keďže človek poriadne nevedel, čo má robiť.",-1
1575,Nepaci sa mi sposob hodotenia hlavne final test treba mat viac ako polovicu bodov a neda sa opravovat  + moze nastat zaujimava situacia - clovek napise final na malo bodov a nevie o tom tympadom ho nespravi ale este o tom nevie lebo ho nema opraveny a musi odovzdat stranku aj s aplikaciou na ktorej pracuje a pritom mozno uz predmet ani nemoze dokoncit...,-1
1963,Telesná je najlepšia.,1
2259,"Vyborny predmet, za 45 minut prednasky dost vela obsahu, a dalsich 45 minut aby sa to precvicilo v praxy, kazdy predmet by mal vyzerat takto",1
1571,"Pre iné odbory ako analýza trochu menej praktické, ale hodiny s p. Valáškom stoja za to:) Navyše ma tento predmet prinútil trocha viac premýšľať s nadhľadom.",1
2229,Niet o com. Super. Odporucana literatura bola dost zaujimava.,1
852,"Super predmet, zaujímavá oblasť",1
108,Preberané témy sú aktuálne a široko využiteľné. Hoci som bol iba na jednej prednáške (zatiaľ) veľmi sa mi páčila no predmet som si zapísal aj napriek konfliktu v rozvrhu.,1
2120,"bolo to zaujimave a myslim ze ten program(SAS) je velmi dobry, som rad ze som sa v nom naucil robit",1
1439,Podľa mňa je ten predmet nudný. Alebo možno zle podávaný.,-1
2722,Vyzdvihujem snahu prednášajúceho podnietiť v nás hlbší záujem o ekonometriu a vynikajúci prístup na cvičeniach,1
624,"Myslím, že máme kvalitne spravenú výučbu matematickej analýzy. Je to síce brutálne ťažký predmet, ale učený a koncipovaný je dobre.",1
2412,"Veľmi zaujímavý predmet, preberaná látka bola primeraná.",1
3177,Nechápem,-1
2053,"predmet je dobry, hlavne pretože poskytuje ulohy a postupy riesenia prikladov",1
532,Zaujimavy a pekny predmet. Velmi dobre vysvetlene. Dobre vypracovane prednaskove slajdy. Domace ulohy dopomohli k lepsiemu pochopeniu latky. Hodnotim velmi pozitivne :),1
413,"Podla mojho nazoru, trochu zbytocny predmet kedze jeho obsahom sú zhruba 3 dalsie predmety, ktore su taktiez povinne. Hodnotenie prace studentov sa mi takisto nezda konzistentne.",-1
64,"prednasane strasne nezaujimavym a zdlhavym sposobom...verim ze prednasajuci sa tematike rozumie, ale myslim ze to vobec nevie podat. strasne vela okolo toho rozprava a velmi do podrobna...mozno len ja mam ten pocit, ale akokolvek som sa snazil udrzat pozornost, nedalo sa. Myslim ze prednasajuci si potrebuje porozpravat svoje a koniec. Pokial sa niekto nieco opyta tak mu to zacne vysvetlovat, ale aj tak ho potom zhasne svojim vysvetlovanim..zbytocne vela vzorcov a kodov namiesto vysvetlenej podstaty..",-1
2129,"velmi zaujmavy predmet, odporucam si ako projekt vybrat pracu s robotom",1
683,"Neviem si predstavit, ze by sa tento predmet dal naucit o moc lepsie... prednasky boli zaujimave, ucivo vysvetlovane zrozumitelne a sposobom od jednoduchsieho k zlozitejsiemu (co nie je pri kazdom predmete takto), takisto dana latka bola vcelku dobre precvicena na cvikach.",1
395,"Kvalitne vyučovaný predmet, ktorý sa dá preplávať vďaka férovému testu pre pokročilých.",1
1116,"jedine co mi nesedelo, boli prednasky vedene studentami, chapem zmysel, ale pre ich kolisajucu kvalitu a nie vzdy celkom trivialnu latku by som tento system zmenil",-1
655,"Ak Vás niekto bude odrádzať od tohto predmetu, neverte mu! Veľmi zaujímavý predmet!",1
769,"Predmet fyzikálne princípy diagnostiky a terapie nebol vôbec o fyzikálnych princípoch v diagnostike a terapii, ale skôr o pravdepodobnosti. Aj keď treba povedať, že niečo z fyzikálnych princípov sa spomenulo, ale určite na tom predmet nebol stavaný.",-1
611,"Síce to bol len prvý semester, kedy sa vyučoval tento predmet, ale bol pripravený veľmi kvalitne. Problematika je inšpirovaná praxou a je veľmi zaujímavá. Pridanou hodnotou je, že vyučujúci sa touto témou zaoberá aj v praxi.",1
1637,Zíde sa do ďalších predmetov. Inak bol obsah pomerne nenáročný.,1
255,"Tento predmet ma fakt bavil, pristup skvely vsetko super",1
2177,"moja skupina s pp Figurovou mala fakt dost vela domacich uloh, mozno aj zbytocne vela",-1
2382,"Zaujímavý predmet, ktorý vie pomôcť s diplomovou prácou.",1
1876,"Najmenej kreditov, najviac vynaloženej sily. :)",-1
2744,"Patrí medzi náročnejšie predmety, ale určite užitočné",1
3167,Skvele,1
535,"myslim si, ze tento predmet len pomohol k zvladnutiu nelineárneho programovania",1
2100,Bolo to zaujímavé a nič netreba meniť.,1
2194,"nie je to klasicke programovanie ale pravidlove, odporucam tym co ma ju zaujem o deklarativne programovanie",1
2011,Narocny predmet.,-1
1609,niektore priklady boli dost nejednoznacne vysvetlene,-1
2282,"Povinny predmet, ale clovek ziska zakladny prehlad v oblasti grafiky. Prednasky boli zaujimave, konecne som zistil ako sa to vsetko v hrach a pod vykresluje. Cvicenia boli formou programovania model viewera, nebolo tam treba chodit, stacilo to nakodit doma, pripadne na cvikach konzultovat.",1
3120,Slabota,-1
2426,Najdôležitejší predmet na skole. Netreba Ho podceniť.,1
1009,pohodový predmet,1
2210,vynikajuci ucitel! a aj velmi uzitocne rady do bezneho zivota programatora,1
2865,"Prednaska je dobre pripravena, aj ked obsahuje svoje ""suchsie"" miesta, co je vsak pochopitelne vzhladom na charakter latky",1
1287,"Myslím, že predmet zodpovedá svojmu účelu.",1
2,"Pre mna pomerne nezaujimavy predmet, ale asi sa mi to hodi :)",1
600,"nerozumiem naco je tento predmet medzi predmetmi numerikov, kedze vobec nemame zaklady z financnej matematiky a statistiky, co sa odzrkadlilo v tom, ze som viac ako 90% vobec nerozumela o com hovori a ake kroky pouzil v danej latke....dat predmet financna matematika2 studentom, ktori nielenze nemali financnu matematiku1, ale tento predmet nesuvisi z ich odborom, je pre mna nepochopitelne....cakala by som, ze v 5rocniku na odbore numerika budeme mat viac predmety, ktore su pre nas odbor vhodne a nie nahdne vybrany zo zoznamu...lebo presne tak mi pripada tento predmet v obdore numerika....preto sa ani k vyssie uvedenym otazkam nebudem vyjadrovat, kedze celkovo predmet bol pre mna nezrozumitelny, kedze pozadovane zaklady nemam...",-1
553,"berie sa to ako súčasť hodnotenia predmetu matematická analýza, tak prečo je to potom voliteľný predmet? alebo to zle chápem?",-1
2147,"mohol by to byt velmi uzitocny problem, kebyze neriesime to, co sme aj tak riesili so skolitelom svojej bakalarskej prace a potom boli zbytocne zmateni rozdielnymi nazormi (skolitel-ucitel na bak. seminari).. mrzi ma tiez, ze sme sa malo venovali formalnej stranke bakalarskej prace, kedze v tomto mal kazdy z nas zmatok a ucitelia nam malo kedy vedeli poradit.. pacilo by sa mi, kebyze maju ucitelia nejake presne pravidla, ako ma bakalarska praca vyzerat a venuju sa tomu pocas semestra, co by bolo pre kazdeho studenta prospesne..napad so skusobnou obhajobou sa mi tiez velmi paci.. no riesit strukturu prace (strukturu z logickeho hladiska) - je podla mna vazne len zalezitost skolitela..",-1
1793,Mne osobne sa moc páči prístup pani Zemanovej ako aj spôsob výučby. Dávam jej 5*,1
3041,Paráda,1
1865,"Jazyky za dva kredity si vyzaduju omnoho viac prace, ako mnohe 6kreditove predmety. A ak clovek chce, aby sa vazne nieco naucil, tak tomu musi venovat ovela viac casu, ako 1 hodinu tyzdenne.  Inak to bolo fajn, naucil som sa nejake zaklady, mam z toho radost.",1
2613,"Manazment sa urcite zide, mna osobne taketo veci velmi nebavia, ale prednasky boli zaujimave (tie na ktorych som bol :)). Stacilo sa naucit na dva lahke testiky, vacsina otazok ABCD, a jeden projektik spravit. Uplna pohodicka :)",1
2094,"Tento predmet by som určite odporučila aj ďaľším študentom. Ako budúci učitelia matematiky by sme mali poznať tieto programy, ktoré môžu skvalitniť našu prácu a takisto urobiť žiakom štúdium matematiky príťežlivejším.",1
351,"Zakladna myslienka predmetu je v tom, ze 5clenny tym studentov vyvija jeden semester aplikaciu ako v reali, vratane vsetkych dokumentacii. Kedze nikdy predtym sme sa s nicim takym nestretli, tieto dokumentacie su zvacsa znoska hatlanin. Programovali to dvaja ludia, zvysni pisali hatlaniny. Toto pisem este cez semester, takze netusim, ako to dopadne s hodnotenim. Este jeden postreh pre tych, co si to v buducnosti zapisu - vyberte si dobrych a zodpovednych ludi do tymu a snazte sa vyhnut pozicii veduci skupiny, lebo si budete pripadat ako student manazmentu a nie informatiky :D. Na tomto predmete som sa naucila, ako komunikovat s ludmi, co sa tyka informatiky mi to nedalo absolutne nic.",-1
1595,"-obrovsky rozsah skusanej latky, ktory vysoko presahuje odprednasane ucivo",-1
1789,"Paci sa mi zameranie A.j. na nas konkretny odbor, ze sa ucime napr. slovicka viac z informatickej sfery, ktore mozeme vyuzit.",1
3061,TOP,1
519,"Kedze sme buduci ucitelia, urcitwe by som to doporucil",1
1784,"Oproti množstu angličtiny, ktorá sa učí na SŠ, bola výučba relatívne strohá (1,5 hodiny týždenne ? MÁLO!). Avšak aj napriek časovej nedostupnosti, boli tieto hodiny zaujímavé, zábavné a poučné. Vrelo odporúčam tým, ktorí sa neboja jazyku a chcú ho používať aj naďalej.",1
1741,"Ak by to nebol povinný predmet a nebol by prerekvizita k inému, tak by som oplakával deň kedy som si ho zapísal. Extrémne nudné prednášky, neustále sa meniace podmienky a učivo vyzeralo ako vytiahnuté z 20 ročnej knihy. Podľa preberaných tém by som aspoň čakal, že by sa povedalo kde sa aké algoritmy využívajú (a či vôbec) lebo témy sú v podstate to, čo už je implementované v ovládačoch grafických kariet. Okrem in0ho, nedokážem pochopiť prečo sa na praktické cviká zvolil C# a nie C++, čo je asi de facto štandard v grafike. Jediné možné ospravedlnenie tohoto predmetu by bolo, keby sa vyučoval prvý rok, alebo keby to bol nejaký podivný sociálny experiment",-1
1264,Chyba verzia pre pokrocilych s moznostou napisat si test na zaciatku semestru a preskocit cvicenia a ulohy.,-1
326,Fajn predmet. Dozviem sa co potrebujem.,1
757,"Odporučil by som tento predmet, pretože vhodne pripraví študenta na aplikácie štatistiky v praxi a pomôže v budúcnosti s riešením experimentov a úloh, ktoré si vyžadujú použitie štatistiky.",1
2828,"Prednášajúca na začiatku tvrdila, že tento predmet nebude ťažký. Mýlila sa :D ale ako jedna z mála si uvedomila, že keď nás nebude týrať, tak dosiahne to čo chce. Naučila nás to, čo je podstatné a nevyžívala sa v detailoch, ktoré sa dajú dotiahnuť osobitne. Hodnotenie tohto predmetu by si mohli za vzor zobrať Finančné deriváty, kde to bolo dosť nespravodlivé.",1
383,Jednoznačné najlepší a najzaujímavejší predmet prvého semestra. Skvele zvládnuté prednášky aj cvičenia. Kiežby boli všetky predmety na takejto úrovni.,1
1159,"Je to síce predmet náročnejší, ja osobne si však myslím, že aj veľmi pekný, preto ho vrelo odporúčam.A ešte by som ocenil viac ako len jednu hodinu cvík. Zdalo sa mi to málo na precvičenie si všetkých vecí.",1
1949,Aerobik je super.,1
2430,"Aj keď Javu nemám rád, predmet to bol dobrý, dokáže naučiť, to čo má.",1
2821,Ak cloveka zaujima ekonometria a iný pohlad na statistiku tak vrelo odporucam. pan docent prednasal velmi zaujimave kapitoly pre tych co to zaujima. hodotenie povazujem za adekvatne vzhladom k tomu ze take kvantum informacii sa da len velmi tazko naucit a cloveku staci ten rozhlad ktory pan docent poskytol. koho to viac zaujima si uz najde svoje.,1
2353,nepaci sa mi hodnotenie skusky... a zbytocne cvicenia...,-1
1078,"Tak prednasky boli vacsinou take, ze na tabuli sa objavovali velke zvieratka medzi ktorymi bolo niekedy rovna sa, pricom som malokedy tusil preco. Teraz mam pocit ze optika je brutal. Fakt sa to neda inak? Nieco na sposob optika for dummies? Ked zistim co je to grupova rychlost dve prednasky po tom co sa zacala objavovat vo vzorcoch, tak... No neviem, zeby som az tak velmi spal? Toto bude predmet, ktory ak prejdem, tak to bude cisto moja praca a zasluha. A cviciaceho Pala Neilingra. (heh, ako inak by to vlastne malo byt? no cakal by som ze prednasajuci ma ""odnesie"" aspon 30% tej cesty, teda ze aspon nejake to zakladne blato sa na mna nalepi) Prednasajuci sice hned prvu vec na prvej prednaske povedal nieco (presne si nepamatam, nechcem si vymyslat), cim naznacil ze tak ako to je to byt ma a ze je s tym spokojny a kto to nezvladne ten nema na matfyz. (challenge accepted)",-1
765,Zaujímavé prednášky,1
1940,Výborný oddych.,1
1806,"Preberané učivo nie je náročné, no predmet kladie dôraz na - podľa môjho názoru - nie až tak podstatné časti jazyka: na ""nadrvenie sa"" gramatiky a gramatických výnimiek a (častokrát až zbytočne) presných odborných termínov. Naopak, chýba dôraz na naozajstnú komunikáciu / používanie jazyka.",-1
1999,viac by som sa zamerala na vyuzitie v praxi a menej by som sa venovala odvodzovaniu jednotlivych vzorcov,-1
1635,"Zaujimave prednasky, cvicenia k veci, suviseli dokopy.",1
734,Chýba seriózna literatúra,-1
2248,"Sice neviem, kde v praxi sa to vyuzije, no p. Gruska to prednasal tak putavo a zaujimavo :) Celkom lahko sa dala dana latka z prednasok pochopit.",1
2228,"je to oddychovy predmet, ludi vrati z programatorskeho neba spat na zem medzi ludi, mozu sa nadychnut a zase vyplavat hore :D",1
819,"Zaujímavý predmet, odporúčam každému kto sa zaujíma o interakciu životné prostredie a my.",1
864,"Podobne ako k prednaske by sa hodili dobre skripta, vyucujuci sa snazi stihnut odvodit co treba na hodine a neostava cas na hlbsie vysvetlenie",-1
573,Velmi zaujimavy predmet.,1
2740,"Cvičenia boli úplne zlé. Oveľa lepšie by bolo, kebyže sa všetky úlohy robia na jednom hlavnom počitáči, tak aby aj tí, ktorí to až tak nevedia, niečo z tej hodiny mali. Prednášky boli ok, občas dosť rýchchlo prednášané, že sa človek nestíhal zorientovať.",-1
885,"Myslím, že to bol skvelý predmet, len občas to zachádzalo do takých detailov, ktoré človek zabudne hneď po hodine.",1
1149,"Prednášaných je mnoho zaujímavých myšlienok, dobrou formou bez prílišných technických detailov. Predmet je celkom náročný.",1
2217,"Veľmi zaujímavý predmet, so skvelým vyučujúcim.. Odporúčam každému:)",1
3035,zbytočný,-1
1314,"predmet bol fajn, ponúkol ďalšie pohľady do formálnych jazykov a vôbec do teorie par. vyp. :) dobrý predmet aj pre trénovanie abstraktnejšieho uvažovania",1
841,"Zaujímavý, konceptuálne náročný predmet. Objavuje sa tu všeličo z iných predmetov. Najskôr sa preberie záver a zvyšok semestra sa študenti k tomu dopracovávajú. Predmet nie je rozdelený na prednášky a cvičenia. Na hodinách však musia študenti veľa pracovať, často treba niečo odvodiť overiť alebo vypočitať príklad a tiež sa diskutuje. Tento spôsob učenia považujem za účinný - z prednášok som odchádzal s tým, že som sa niečo nové naučil a rozumiem tomu. K dispozícii sú skriptá, ktoré pomôžu vyjasniť prípadné nezrovnalosti a pri učení sa na skúšku.",1
2329,Pomerne jednoducha prakticky zamerana skuska (pocitanie prikladov).,1
723,"Pocas prvych troch prednasok sa pouzivali prezentacie. Na tom by nebolo nic zle, ak by ta prezentacia nebola jedna a ak by nepozostavala z cca 10-tich slajdov, na ktorych boli uvedene len vzorce bez akychkolvek ucelenych myslienok.",-1
693,"Na tomto predmete som pochopila zaklady fungovania bankovnictva, co podla mna patri do vseobecneho rozhladu. odporucam.",1
2667,"podla mna nase vedomosti na efm po prvych troch rokoch nie su take, aby sme mali pisat nasledne 30stranovu pracu na vysokej urovni....zabralo to velmi vela casu a aj tak vysledok je ze ja aj vacsina spoluziakov ako som pocul niesu sami spokojni so svojou pracou, a hlavne nas to velmi obralo o cas, ktory sme mohli venovat priprave na statnice, co by nam velmi pomohlo, aby cele to ucivo (hlavne tazsia matematika) troch rokov v nasich hlavach mohla zapadnut dokopy a poprepajat sajediny uzitok co z toho vidim je, ze sme sa naucili ako samostatne robit vacsiu pracu (priprava na diplomovku)",-1
1608,"Stále nechápem o čom tento predmet vlastne je. Preberáme tam teoretické veci, ktoré vlastne ani nie sú teóriou a je to celé podľa mňa úplnou zbytočnosťou.",-1
1560,"vela ale fakt veeela poznatkov sa tam clovek dozvie, k obsahu predmetu nemam vyhrady.",1
1719,"Prvy problem nastal takmer okamzite, ked sa na zaciatku menili pravidla. Po dovysvetlovani podmienok sa ustalili a (az na praktocke cvicenia) nemenili. Nastastie ak sa najde nieco, comu nepochopite na prednaske, na cviceniach vam to ochotne vysvetlia. Hlavnym problemom tohto predmetu je extremna casova narocnost vzhladom na pocet kreditov. Z pociatku boli pivinne 2*2h cvicenia tyzdenne + prednaska, pricom cvicenia museli byt so 100% ucastou. Tiez nepotesi ze okrem midtermu a final testu, ide student este na jednu pisomnu a ustnu cast....",-1
2421,"povinný predmet, ktorý treba absolvovať. ale pre aplikovaných informatikov určite aj jeden z najdôležitejších predmetov prvého ročníka. veľmi kvalitní vyučujúci sú zárukou toho, že ak človek cez semester robí, nie je problém tento predmet spraviť (a možno aj zrýchleným režimom)",1
