comment,class_label
"Doplnkové cviká k matike sú úžasným spôsobom ako sa zorientovať v množstve nového učiva, s ktorým sa študent potýka dennodenne. Príklady riešené na tabulu, individuálna pomoc, príjemní učitelia. To všetko robí z tohto drobného predmetu jeden z najpopulárnejších :-)",1
"tento predmet bol dobry , pretoze sme mohli dobrat ucivo s ktorym sme mali problemy .",1
"Predmet by som odporucil, kvoli lahko ziskanym kreditom.",1
"Veľmi osožný predmet ku zvládnutiu skúšky z matematiky.",1
"Niekedy som mal pocit že sa nejedná o ''cvičenia'' ale skôr o ''hlavolamy'' ktoré nám majú dokázať že to čo sa učí na normálnej matematike je oproti tomu veľmi ľahké.",0
"mala som nespravnu vyucujucu takze cely predmet na mna posobil zlym a nudnym dojmom.na konci roka ste ju vymenili a to bolo asi najlepsie co ste pre nas mohli urobit",-1
"Tento predmet ma jednu obrovsku nevyhodu a to ze hoci vam ma pomoct chapat matematiku, ak chcete body tak ju uz musite vediet lebo ten co nevie, nejde pocitat k tabuli... a tu sa zacyklime takze sprosty som a sprosty aj ostanem...",-1
"predmet ma bavil aj vdaka cvičiacej doktorantke Majke Figurovej, keby som ho mala odporučiť tak určite áno! ale jedine s ňou alebo ešte s doktorantkou Miškou Velanovou...",1
"Jednoznacne ano! k predmetu Matematika 1",1
treba,0
"jediné negatívum bolo to skoro ráno :)",0
"Pre kazdeho, koho aspon trochu bavi matematika, je to zaujimave spestrenie normalnej matematiky",1
"narocny predmet (asi ako vsetky predmety s Durikovicom), ale aspon sa clovek nauci",0
"Prednášky sa sústredia na témy, kde krásne vidno eleganciu Hakellu a funkcionálneho programovania. Domáce úlohy je pôžitok riešiť, úplné informatické puzzle :-) Chápem, že predmet nie je pre každého, ale u mňa splnil všetky očakávania. Tým, ktorých táto oblasť zaujíma, ho určite odporúčam.",1
"Na predmete sa vyucuju pomerne okrajove veci, preto urcite nie je pre kazdeho. Na to vsak na zaciatku predmetu budete upozorneni. Tiez na prvej hodine zistite, aku narocnost zhruba mozete ocakavat (a je dost vysoka). Ked ste s tym zmiereni, bude sa vam pacit :)",1
"Vsetko je ok az na to ze som precenil svoje schopnosti na hlboke abstraktne myslenie a musel tento predmet vzdat. Ak clovek rozumie Lambda kalkul a haskelu uz celkom dobre je to predmet pre neho...",0
"Musim sa ospravedlnit za omeskanie vyhodnoteni kvoli zdravotnym problemom aj vedeckej vystave Virtualny svet.  Predmet sa venuje zdanlivo osuchanym myslienkam normotvorby a specifikacie funkcnosti interaktivneho grafickeho softveru, cize tej metodike, ktoru bude kazdy dennodenne potrebovat po dalsich 40 rokov v praxi.   Realne ovocie tejto sejby dozrie do leta v specifikacii funkcnosti diplomovky a napisani prislusnej kapitoly. Na jesen bude vidno, ako sa tato metodika premietla do softveroveho diela...  Dakujem za priaznive slova o prednasani, v ktorom sa pokusam nanovo objavovat odpovede na relevantne otazky. Za nas  spolocny vrcholny uspech pokladam ten cas, ked sme spolocne specifikovali poziadavky pre cielove skupiny a lutujem, ze to nemame nasnimane. Tak si predstavujem, ze sa darilo santit objavujuc a objavovat santiac Komenskemu a jeho detom... Z prednasky sa nahle stal elektrizujuci seminar a islo nam to vymyslanie takpovediac samo.  Tak by to malo byt, absolutne prisna metodika, jasne pojmy a v danom jazyku skvele napady. Pre takuto radost sme si vsetci zvolili tuto profesiu, myslim.   Bez noriem zit nemozno. Mozno mat k nim ale pozitivny vztah.   ",0
"Zaujimavy prstip. Prednasajucemu neslo o to aby len monotonne odprednasal latku, ale snazil sa zaujat studentov obsahom. Vdaka comu sa stal tento predmet oblubenym medzi studentmi",1
"Predmet celkom potrebný k životu ... každopádne ide tu hlavne o profesora, ktorý je proste best. Dokáže prednášať zaujímavo asi o čomkoľvek. Ak by to neučil Ferko, asi by to bol nezaujímavý predmet.",0
"Zaujimavy predmet. Vyucujuci - Ferko, to hovori dost :)",0
"Predmet zaujimavy iba kvoli vyucujucemu a sposobu prednasania. Latka nezazivna, preberaju sa normy z 80tych rokov.",0
"nudný a nezaujímavý predmet. informácie o tom, si môžte prečítať v knihe v cca 5 kapitolách - uz len z casoveho hladiska by som si predmet radsej nezapisoval. navyse, ani kredity za to nestoja...",-1
"zaujimave prednasky s kopou pikosiek zo zivota skoly :D",1
"Preberaná látka nie je zaujímavá, ale každému by som odporúčal tento predmet. Cez semester máte dve písomky, a cez skúškové musíte odovzdať softvérové dielo. Čo by som vyčítal je to, že dodnes nevieme výsledky z midtermu a z finaltermu, asi sa dozvieme, keď odovzdáme projekt.",0
"Zaujimave informacie nielen teoreticke ale aj z praxe, co sa ceni :)",1
"Velmi zaujmave, velmi dobre odprednasane.",1
"Preberané témy sú aktuálne a široko využiteľné. Hoci som bol iba na jednej prednáške (zatiaľ) veľmi sa mi páčila no predmet som si zapísal aj napriek konfliktu v rozvrhu.",1
"Zaujimava tematika, dobry sposob hodnotenia a pristup k studentovi",1
"Predmet celkom ok.  Ak chcete, tak sa aj niečo naučíte, ak nechcete, tak vypracujete na konci semestra niektoré otázky, a máte známku... ale z toho predmetu potom nič nemáte. Každopádne prednášajúci síce prednáša zrozumiteľne a jasne, ale neskutočne rýchlo, že to človek nieje schopný vnímať a spracuvávať.",0
"Predmet bol dost jednoduchy, kto mal ZUI to da lavou zadnou.",0
"Myslim ze kvalitny predmet, akurat po prvej prednaske kde bolo plne predstavene co to je heuristika a nasledne aj studenti dake vymyslali, som mal do 1/3 predmetu pocit ze sa profesor opakuje stale dokola s vysvetlovanim co ta ta heuristika ja. V 1/3 sa uz preslo na prehladavacie algoritmy vyuzivajuce heuristiku, tak pocit zmizol",0
"Na konci semestra treba vypracovať 10 z 20 úloh a 3 kredity sú vaše",0
Odporucam,1
"Zaujimavy predmet, ktory viacmenej zhrnie viacere uz ziskane a zazite poznatky. Urcite by som ho odporucil.",1
"Zaujímavý predmet, ktorý nám predstaví nie príliš známe technológie a prístupy v rámci interagovania medzi človekom a počítačom. Len škoda že to bolo tak neskoro. Pre ľudí čo cestujú je trocha demotivujúce tam chodiť.",0
"Odporucam tento predmet hlavne tym, ktory sa chcu venovat tvorbe softveru. Inak velmi zaujimavy.",1
"Celkom fajn predmet, také celkové zhrnutie interakcie človek - poč.",1
"Dost zaujimave veci, aj ked niektore prednasky sa mi zdali trochu zdlhave.",0
"predmet bol velmi dobre oduceny, len mne Linux nesadol",1
"S Nagyom je Linux zábava :D",0
"predmet sám o sebe ani nebol až tak náročný, akurát pre mňa ako pre začiatocníka to bolo dosť namáhavé...",0
"Vyborny predmet, len tie cvicenia su dost chaos, casto mi nebolo jasne ako na to, ale chyba moze byt u mna...",1
"Linux pod ktorym sa pracuje na cviceniach nie je bohvieako lakavy. vobec ma nenavnadil na linux, skor odradil.",-1
"Taká oddychovka, na dva kredity OK :-)",0
"prednasky aj cvicenia brane tak s humorom",0
"Fajn predmet, clovek linuxu neznaly sa nauci aspon trochu pracovat pod Linuxom.",1
"vyborny predmet, vediet sa zorientovat v linuxe sa urcite vzdy zide",1
